Document,Dominant Topic,Probability,Original Text
0,1,0.41705325,"""i want to use high-quality films to get viewers fired up about snowboarding. its incredible that such a tiny sensor from bosch makes that possible,"" says professional snowboarder and film producer yanneck konda. built into the action camera yanneck uses for filming, our image stabilization mems sensor measures just 2.5 mm x 3.0 mm x 0.83 mm in size and contains parts that are finer than a human hair. despite its tiny size, the sensor is packed with plenty of power to help the passionate snowboarder capture crisp and stable footage while moving at high speed on uneven ground. on top of that, the sensor runs on exceptionally low power, which helps preserve the cameras battery in extremely low temperatures. learn more: "
1,4,0.29316923,"""for bosch, digitalization presents major opportunities in all areas of business,"" said our chairman stefan hartung today at the bosch connectedworld conference in berlin, germany. in his linkedin post, he shares examples of how digitalization can help to combine enjoyment and efficiency, and how it can contribute to more sustainability. check it out! bcw22"
2,8,0.47523788,"from robots to connected mobility and smart homes – digital and intelligent solutions are at the center of attention at bosch connectedworld 2022. the event is the leading conference on aiot and digital transformation. at bosch, we want to make the most of the opportunities digitalization offers: our technology is meant to not only make life more convenient and enjoyable, but also more efficient and thus more sustainable. thats why our chairman stefan hartung announced in his bcw22 keynote that we will have invested more than 10 billion euros in digitalization and connectivity by 2025. two-thirds of the planned expenses will go toward developing and expanding promising new technologies, with a focus on sustainability, mobility, and industry 4.0. additionally, bosch will invest in vocational training and professional development for the associates. read more: "
3,11,0.26171988,"📖✨ created by children for children: the new ""primavera"" book is full of colorful pictures and exciting stories written and illustrated by young authors from the aid organizations projects around the world. they explore themes of courage, solidarity and tolerance, mutual respect and friendship. primavera was founded by bosch associates in 1990. by supporting many educational or vocational activities, its aim is to help provide a way out of the poverty cycle and a better life for children and young people. one of the books young authors is brandon, who is shown in the picture drawing a dragon. he lives in mexico and is part of a primavera project in the field of educational promotion. the fifteen-year-old has a passion for drawing and is proud that his art is used to help others. 🎨🖌️🖼️ the book and other items, like calendars, are available to buy in the eu through the primavera online store, with proceeds supporting the organizations work, enabling their many projects to continue: "
4,4,0.24997434,"more than 70 % of the west african country niger is desert and barren land. each year, another 100,000 hectares of fertile soil are lost to climate change. at the same time 85 % of the population of niger depend on agriculture for their livelihood 🌱🐐. this means, they are especially vulnerable to climate change effects such as droughts, floods, wildfires, or desertification. the foundation robert bosch stiftung supports a project run by the world resources institute in niger. as part of the project, local farmers use re-discovered traditional methods to make the soil fertile again. this way, local communities not only restore landscapes and ecosystems but also increase their harvests significantly. more: "
5,11,0.3533693,"🅿️🚘 imagine parking in a garage without the hassle of searching for a free space or having to maneuver into a tight spot. sounds like a dream? 💭✨ with our automated valet parking system its reality – and the basis for the system to become more widely available has now been laid: as the worlds first highly automated and driverless parking function, it has been given official approval for commercial use in germany. the system, developed together with mercedes-benz ag, allows drivers to simply drop off the vehicle in a designated zone. our smart infrastructure installed in the parking garage then interacts with the technology in the vehicle, enabling it to drive safely to a vacant space and park by itself. 🙌 the function will soon be available for drivers of certain mercedes-benz s-class and eqs variants featuring intelligent park pilot, who use the p6 parking garage at stuttgart airport, run by apcoa. our aim is to equip several hundred parking garages worldwide with the necessary infrastructure technology in the next few years. learn more: "
6,11,0.34431174,"👶 from a crib, to a nursing table, to a desk: how can one product be designed serve multiple purposes? 🤔 quality and style are common factors when purchasing products, but when wanting to save space, reduce long-term costs, or act more sustainably, long-lasting items that serve multiple functions are becoming increasingly important to consider. one of our teams at bosch in shanghai, china, had this in mind when developing the idea of a multiuse crib. utilizing smart technology, our revol crib has electric height adjustment to accommodate the childs growth, and a mounted camera that integrates with smartphones for added peace of mind. it can also switch between two other modes: a nursing table and playpen. 🧸 but thats not all, the innovative product can be converted into a desk that the child can use long after they have outgrown sleeping in it, evolving to the needs of the family over many years. more: "
7,7,0.19323118,"✨❄️ are you already relaxing in your ""ugly sweater"" or do you still have a lot of preparations to do for the holiday season? our innovative solutions for at home and on the road are designed to make your life easier – and at the same time safer and more sustainable. thus, leaving you more time to relax and enjoy this time of the year. 🙌 for those of you who want to celebrate likeabosch: head over to the boschkarriere instagram channel to try on our ""celebrate likeabosch"" sweater as a filter and send out your seasons greetings using reels and stories. 🥳📲 "
8,10,0.33166757,"have you heard of blockchains, cryptocurrency and nfts? 🤔 these are all part of web3 – a decentralized internet based on distributed ledger technology. 📱 the idea behind web3 is that in a highly connected world, the key to success is to find the right balance between cooperation and competition, a so-called “copetition”. in the latest episode of our “from know-how to wow” podcast, tanja rueckert, chief digital officer at bosch, joins our hosts to discuss the future of a decentralized internet, and how bosch is embracing it to help develop new business models and enable trusted collaboration: "
9,11,0.21401308,"starting the year 2023 with personnel changes: , the chairman of the board of management of robert bosch gmbh. ""he has rigorously brought industrial technology into line with the social and technological challenges of our age. todays industrial technology stands out in the market with its sustainable and efficient solutions, which help mitigate resource scarcity, climate change, and labor shortages."" learn more: "
10,1,0.4292996,"❄️🚴 do you enjoy riding your bike throughout the year? to help you stay safe on the road while cycling during winter, our experts at bosch ebike systems have put together some tips: 🔦🔆 be seen: wearing bright clothing or accessories and using reflectors is a simple and effective way to boost your visibility to other road users. in addition, sufficient lighting is important. you can increase safety with our intelligent cobi. bike ambisense light system, which reacts to the specific cycling situation – featuring daytime, dipped, and high beam lights. 💦🍂 take care: make sure to give yourself a bit more time for your trip as terrain hazards, such as wet leaves or slush, can make braking difficult. using an ebike with abs \(anti-lock braking system\) can improve the safety of the rider and other road users by providing more control during braking. 🔧🔋 maintain equipment: bike maintenance is essential for riding safely. did you know that removing your ebike rechargeable battery after riding can improve ebike battery performance in low temperatures? store and charge it at room temperature and only insert it back into the ebike just before riding it again. learn more: "
11,10,0.3664154,"what benefits could technology bring to your life? we posed this question to people from seven different countries as part of our tech compass 2023 survey. in addition to a more comfortable life and greater safety, 50% of participants agree that technology can help to improve our health. on that topic, we are conducting research and are working on multiple technologies with the goal to create a positive impact on people’s health. for example, in the future, quantum sensors could allow for measurement accuracy that is 1,000 times greater than current levels of precision. and they could be used to sense nerve impulses to help move medical prostheses. tell us what you think: how can technology have a positive influence on our lives? 👇 learn more about the  and future technologies: "
12,10,0.4505971,"what are the drivers of sustainability in the future? when we asked participants in our tech compass 2023 survey which technologies had the greatest potential to drive sustainability, 41% responded with hydrogen fuel cells. 🔋 at bosch, we are developing fuel cells for mobile and stationary applications, equipping hydrogen filling stations with compressors, and producing hydrogen in our own plants. our fuel-cell technology for long-haul trucks, for example, holds great potential to help tackle environmental challenges. why? 🚛 over 500 kilometers range on a full tank holding 11.7 kilograms of hydrogen ⛽ it takes just five to ten minutes to refill the hydrogen tank 💧 only water is emitted locally you can find more facts on what the world thinks about technology in our : "
13,11,0.21429682,Germany is a leader across Europe for the number of hydrogen -related patents - and among other things through the work of Bosch.Because we prove worldwide top positions when it comes to patents in the field of climate motivated hydrogen technologies 🏅: 
14,8,0.29850942,"👩‍🍳🍰 perfect bake? piece of cake! thanks to our perfectbake function. 😉 the baking sensor constantly measures the moisture level of the food in the oven and regulates the baking process accordingly – for the best results, every time. 🙌 do you enjoy cooking and baking at home? for which tasks do you use smart technology in your kitchen? let us know! 😊 more about sensor tech : "
15,1,0.33164492,"listen up! grab your headphones for this months podcast episode: were discussing head-tracking technology in hearables. 🎧 in the latest episode of ""from know-how to wow"", our podcast hosts are joined by ye lu, who has developed the head-tracking feature in our smart sensor bhi360. this tiny headphone sensor detects when a user turns or tilts their head and by how much, and adjusts the sound according to it. by doing so, it can create a new sound experience, for example during an audio tour at a museum, where specific information could be delivered to the headphone wearer automatically according to which painting they are looking at. 🎶 intrigued? listen in: "
16,11,0.62780297,"Over 5,000 occupied positions in Germany 🙌 in 2022 - that is the proud result of the People Acquisition Campus \ (PAC \) at Bosch.We ensure that the right people end up in the right places and enrich Bosch with their work, but above all with their personality.To achieve this, our team is broad and follows a wide variety of tasks - from personnel marketing to recruiting to consulting for the employees.All of this under the motto: Recruit !What some may not be so aware: With our work we have a significant impact on the corporate culture at Bosch.Finally, together with the specialist departments, we select those who end up shaping them.And therefore we are proud.🤩 For the first time, all around 100 college: inside the PAC personally came together to start the new year together at a kick -off event.✨😊 The program was filled: 👉 of exciting lectures by the PAC leadership team and  , Executive Vice President Talent Acquisition Deutsche Bahn, 👉 to roll, goals and goals and goalsMuch more, 👉 up to the meal together from the self -created buffet.We start the new year as a strong team and look forward to welcoming many new college: to welcome the inside at Bosch.Apply now - see you in the interview 😎: "
17,10,0.5394895,"📸📱 click, click, click, pin-sharp pic! did you know that our bmi260 sensor for optical and electronical image stabilization allows you to capture crisp images and smooth videos with your smartphone? 🤳 but thats not all – our bosch sensors can be found in every second new smartphone and can perform a variety of tasks, like changing the rotation of your display according to landscape or portrait mode. thats sensor tech ! 😎 learn more: "
18,11,0.31422365,"🚘🅿️ whether in parking garages at airports, shopping centers or concert halls – we are working on making the convenience of driverless parking more widely available. at the end of last year, our automated valet parking system, which we developed together with mercedes-benz, was given official approval for commercial use in germany. currently, drivers of mercedes-benz s-class and eqs variants featuring the intelligent park pilot can experience the convenience of simply dropping off their car at the entrance of the parking garage, have it find a space, and park itself driverlessly at stuttgart airport. starting this year, together with parking operator apcoa, we are branching out and installing our infrastructure-based technology for automated valet parking in 15 further parking garages across the country. and we plan to equip several hundred more around the world in the coming years. 🌍🙌 learn more: "
19,11,0.21421131,"VR glasses placed and controller in hand: Our scholarship holder: Inside and other young talents immersed in the Bosch Metaverse in January and explored our virtual exhibition center.✨👀 The advantage compared to a normal visit to the fair: no long journey, no crowds in front of the booth and no deafening noise.🙌 The approximately 15 participants explored the site, listened to lectures and talked almost as in reality in the virtual world.💬 “The subsequent exchange about the HR pilot was particularly enriching for me.Among other things, we asked ourselves how we can not only use the metaverse to draw attention to Bosch as an employer, but how we can generate applications directly, ”said Jana, one of the participants.Would you also like to go to scholarship holder: in becoming in and participate in exciting pilot projects?🎓 Then apply ... ➡️ until May 5th for the Deutschlandstipendium 👉 "
