iter	Passed	Remaining
0	1	179
1	2	141
2	3	117
3	4	106
4	5	98
5	5	93
6	6	89
7	7	90
8	8	90
9	9	86
10	10	83
11	11	81
12	11	78
13	12	76
14	13	74
15	13	72
16	14	71
17	15	69
18	16	68
19	16	67
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	39	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	68	12
85	70	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	76	6
92	85	6
93	88	5
94	89	4
95	92	3
96	93	2
97	94	1
98	95	0
99	97	0
